"","Metric","Units","Amount","startDate","endDate"
"45","Commercial Paper","usd","11738000000",NA,"2016-12-31"
"46","Other Short-term Borrowings","usd","21105000000",NA,"2015-12-31"
"47","Other Short-term Borrowings","usd","22705000000",NA,"2016-12-31"
"48","Trading Liabilities","usd","126897000000",NA,"2015-12-31"
"49","Trading Liabilities","usd","136659000000",NA,"2016-12-31"
"50","Accounts Payable and Accrued Liabilities","usd","177638000000",NA,"2015-12-31"
"51","Accounts Payable and Accrued Liabilities","usd","190543000000",NA,"2016-12-31"
"52","Beneficial Interest Liability","usd","41879000000",NA,"2015-12-31"
"53","Beneficial Interest Liability","usd","39047000000",NA,"2016-12-31"
"54","Long-term Debt and Capital Lease Obligations, Including Current Maturities","usd","288651000000",NA,"2015-12-31"
"55","Long-term Debt and Capital Lease Obligations, Including Current Maturities","usd","295245000000",NA,"2016-12-31"
"56","Liabilities","usd","2104125000000",NA,"2015-12-31"
"57","Liabilities","usd","2236782000000",NA,"2016-12-31"
"58","Commitments and Contingencies","usd",NA,NA,"2015-12-31"
"59","Commitments and Contingencies","usd",NA,NA,"2016-12-31"
"60","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","26068000000",NA,"2015-12-31"
"61","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","26068000000",NA,"2016-12-31"
"62","Common Stock, Value, Issued","usd","4105000000",NA,"2015-12-31"
"63","Common Stock, Value, Issued","usd","4105000000",NA,"2016-12-31"
"64","Additional Paid in Capital, Common Stock","usd","92500000000",NA,"2015-12-31"
"65","Additional Paid in Capital, Common Stock","usd","91627000000",NA,"2016-12-31"
"66","Retained Earnings (Accumulated Deficit)","usd","146420000000",NA,"2015-12-31"
"67","Retained Earnings (Accumulated Deficit)","usd","162440000000",NA,"2016-12-31"
"68","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","192000000",NA,"2015-12-31"
"69","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","-1175000000",NA,"2016-12-31"
"70","Common Stock Held in Trust","usd","21000000",NA,"2015-12-31"
"71","Common Stock Held in Trust","usd","21000000",NA,"2016-12-31"
"72","Treasury Stock, Value","usd","21691000000",NA,"2015-12-31"
"73","Treasury Stock, Value","usd","28854000000",NA,"2016-12-31"
"74","Stockholders' Equity Attributable to Parent","usd","231727000000",NA,"2014-12-31"
"75","Stockholders' Equity Attributable to Parent","usd","247573000000",NA,"2015-12-31"
"76","Stockholders' Equity Attributable to Parent","usd","254190000000",NA,"2016-12-31"
"77","Liabilities and Equity","usd","2351698000000",NA,"2015-12-31"
"78","Liabilities and Equity","usd","2490972000000",NA,"2016-12-31"
